	categories_list
Slam Dunk Movie 3	[Action, Comedy, Drama, Sports, BasedonaManga, Basketball, Delinquents, SchoolClub, SchoolLife]
Slam Dunk Movie 4	[Action, Comedy, Drama, Sports, BasedonaManga, Basketball, SchoolClub, SchoolLife]
Slap Up Party: Arad Senki	[Action, Adventure, Comedy, Fantasy, BasedonaVideoGame, Demons, RPG]
Slayers	[Adventure, Comedy, Fantasy, BasedonaLightNovel, Magic]
Slayers Evolution-R	[Adventure, Comedy, Fantasy, BasedonaLightNovel, Magic]
Slayers Excellent	[Adventure, Comedy, Fantasy, BasedonaLightNovel, Magic]
Slayers Gorgeous	[Action, Comedy, Fantasy, BasedonaLightNovel]
Slayers Great	[Adventure, Comedy, Fantasy, BasedonaLightNovel, Magic]
Slayers Next	[Adventure, Comedy, Fantasy, BasedonaLightNovel, Magic]
Slayers Premium	[Comedy, Fantasy, BasedonaLightNovel, Magic]
Slayers Return	[Adventure, Comedy, Fantasy, BasedonaLightNovel, Magic]
Slayers Revolution	[Adventure, Comedy, Fantasy, BasedonaLightNovel, Magic]
Slayers Try	[Action, Adventure, Fantasy, BasedonaLightNovel]
Slayers: The Book of Spells	[Adventure, Comedy, Fantasy, BasedonaLightNovel, Magic]
Slayers: The Motion Picture	[Adventure, Comedy, Fantasy, BasedonaLightNovel, Magic]
Sleeping with Hinako	[Ecchi, OriginalWork, PantyShots]
Slow Step	[Romance, Baseball, Boxing, LoveTriangle, SchoolLife]
Smash Hit	[]
Smash Hit Specials	[]
Smile Pretty Cure!	[Action, MagicalGirl, Shoujo, FamilyFriendly, Magic, Monster-of-the-week]
Smile Pretty Cure! Movie: Ehon no Naka wa Minna Chiguhagu!	[]
Snow Queen, The	[Adventure, Fantasy, BasedonaFairyTale]
Snow Song Show	[Vocaloid]
So-Ra-No-Wo-To	[Comedy, SliceofLife, Military, Music, OriginalWork, Post-apocalyptic]
So-Ra-No-Wo-To Specials	[Comedy, SliceofLife, Military]
Soar High! Isami	[]
Softenni	[Comedy, Ecchi, Sports, BasedonaManga, PantyShots, Tennis]
Softenni Specials	[Ecchi, Nudity]
Sohryuden - Legend of the Dragon Kings	[]
Sol Bianca - Movie 1	[Action, Adventure, SpacePirates]
Sol Bianca - Movie 2	[Action, Adventure, SpacePirates]
Sol Bianca: The Legacy	[Adventure, SciFi, SpacePirates]
Solty Rei	[Action, SciFi, Androids, BountyHunters, OriginalWork, Post-apocalyptic, Robots, Violence]
Solty Rei Specials	[]
Someday's Dreamers	[SliceofLife, Magic]
Song of Wind and Trees	[Drama, Romance, Shoujo, Shounen-ai, Europe, LGBTThemes, MatureThemes, Psychological, SchoolLife]
SoniAni: Super Sonico The Animation	[Comedy, Ecchi, SliceofLife, Music]
Sonic Soldier Borgman	[Action, SciFi, Monster-of-the-week]
Sonic Soldier Borgman 2: New Century 2058	[]
Sonic Soldier Borgman: Last Battle	[]
Sonic Soldier Borgman: Lover's Rain	[]
Sonic X	[Action, Adventure, SciFi, AnimalProtagonists, FamilyFriendly]
Sonic the Hedgehog: The Movie	[Action, SciFi, AnimalProtagonists, FamilyFriendly]
Sonic: Night of the WereHog	[Action, AnimalProtagonists, FamilyFriendly, Shorts, Supernatural]
Sora Hen	[Promotional]
Sora Iro no Tane	[FamilyFriendly, Shorts]
Sora no Manimani	[Comedy, Romance, SliceofLife, BasedonaManga, SchoolClub, SchoolLife]
Sora no Manimani Specials	[SliceofLife]
Sora no Momotaro	[Adventure, AnimalProtagonists, Aviation, BlackandWhite, JapaneseAnimeClassicCollection, Shorts]
Sora no Otoshimono	[Comedy, Ecchi, Fantasy, BasedonaManga, Chibi, PantyShots, SuddenGirlfriendAppearance]
Sora no Otoshimono Final: Eternal My Master	[Comedy, Ecchi, Fantasy, PantyShots]
Sora no Otoshimono Forte	[Comedy, Ecchi, Fantasy, BasedonaManga, Chibi, PantyShots]
Sora no Otoshimono OVA	[Comedy, Ecchi, Fantasy, PantyShots]
Sora no Otoshimono: Tokei-jikake no Angeloid	[Comedy, Ecchi, Fantasy, PantyShots]
Sora o Kakeru Shoujo	[Comedy, SciFi, OriginalWork, OuterSpace]
Sora o Kakeru Shoujo Picture Drama	[PictureDrama]
Sora wo Miageru Shoujo no Hitomi ni Utsuru Sekai	[Fantasy, Magic]
Soratobu Toshi Keikaku	[Adventure, SciFi]
Sorcerer Hunters	[Adventure, Ecchi, Fantasy, Magic]
Sorcerer Hunters OVA	[Comedy, Ecchi]
Sorcerer On The Rocks	[Comedy, Ecchi, Fantasy, BountyHunters, Magic, Monsters]
Sore Ike! Anpanman: Inochi no Hoshi no Dolly	[]
Sore Ike! Anpanman: Ruby no Negai	[]
Sore Ike! Zukkoke Sannin-gumi	[Comedy, FamilyFriendly]
Sore ga Seiyuu!	[Comedy, BasedonaManga, WorkLife]
Soredemo Machi wa Mawatteiru	[Comedy, SliceofLife, BasedonaManga, Cafe, Maids]
Sorette Dakara ne!	[Drama, SchoolLife, Shorts]
Soriton no Akuma	[]
Sou Nanda	[FamilyFriendly, OriginalWork, Science]
Sougen no Ko Tenguri	[Promotional, Shorts]
Sougiya to Inu	[Horror, Shorts]
Soukou no Strain	[Drama, Mecha, SciFi, Military]
Soukyuu no Fafner: Arcadian Memory	[Recap]
Soukyuu no Fafner: Dead Aggressor - Exodus	[Mecha, SciFi]
Soukyuu no Fafner: Dead Aggressor - Exodus 2	[Mecha, SciFi]
Soukyuu no Fafner: Dead Aggressor - Heaven and Earth	[Mecha, SciFi]
Soul Eater	[Action, Fantasy, Shounen, BasedonaManga, Demons, Shinigami, Supernatural]
Soul Eater Not!	[Action, Comedy, BasedonaManga, Supernatural]
Soul Eater: Late Night Show	[]
Soul Hunter	[Action, Adventure, Comedy, Fantasy]
Soul Link	[Action, Drama, SciFi, BasedonanEroge, BasedonaVisualNovel, Military, OuterSpace]
Soul Link Picture Drama	[PictureDrama]
Soul Link Special	[Recap]
SoulTaker	[Horror, Abstract, Monsters, Psychological, Supernatural, Superpowers]
SoulTaker Specials	[Omake]
Sound Horizon: Yodaka no Hoshi	[Action]
Sound! Euphonium	[BasedonaNovel, Music, SchoolClub, SchoolLife]
Sound! Euphonium 2	[BasedonaNovel, Music]
Sound! Euphonium Specials	[Comedy, BasedonaNovel, Music, SchoolClub, SchoolLife]
Sound! Euphonium the Movie: Welcome to the Kitauji High School Concert Band	[BasedonaNovel, Music, Recap, SchoolClub, SchoolLife]
Sound! Euphonium: Kakedasu Monaka	[BasedonaNovel, Music]
Sousei no Aquarion	[Mecha, Angels, OriginalWork, Reincarnation]
Sousei no Aquarion Evol	[Mecha, SciFi]
Sousei no Aquarion OVA	[Mecha, Angels, Reincarnation]
Souseiki	[Shorts]
Souten Kouro	[Action, Adventure, BasedonaManga, Historical, Political, RomanceoftheThreeKingdoms, Violence, War]
Souten no Ken	[Action, ExplicitViolence, MartialArts]
Souten no Ken Specials	[]
Space Adventure Cobra	[Action, Adventure, Ecchi, SciFi, Aliens, BasedonaManga, SpacePirates]
Space Adventure Cobra Movie	[Action, Adventure, Ecchi, SciFi, Aliens, BasedonaManga, Cyborgs, SpacePirates]
Space Battleship Yamato 2199	[Adventure, SciFi, BasedonanAnime, OuterSpace]
Space Battleship Yamato 2199: Hoshi-Meguru Hakobune	[SciFi, BasedonanAnime]
Space Battleship Yamato 2199: Tsuioku no Koukai	[BasedonanAnime, Recap]
Space Battleship Yamato Movie	[BasedonanAnime]
Space Battleship Yamato: Resurrection	[SciFi, BasedonanAnime]
Space Battleship Yamato: The New Voyage	[SciFi, OriginalWork]
Space Brothers	[Comedy, Drama, SciFi, Seinen, Astronauts, BasedonaManga, WorkLife]
Space Brothers Number Zero	[Astronauts]
Space Dandy	[Adventure, Comedy, SciFi, Episodic, OriginalWork, OuterSpace]
Space Dandy 2	[Adventure, Comedy, SciFi, Episodic, OriginalWork, OuterSpace]
Space Dandy 2 Picture Drama	[PictureDrama]
Space Dandy Picture Drama	[PictureDrama]
Space Fantasia 2001 Nights	[SciFi, OuterSpace]
Space Knight Tekkaman	[Action, Adventure, Mecha, SciFi, Aliens, OuterSpace]
Space Neko Theater	[Comedy, AnimalProtagonists]
Space Oz no Bouken	[SciFi]
Space Pirate Mito	[Comedy, SciFi, OriginalWork, SpacePirates]
Space Pirate Mito Pilot	[Comedy, SciFi, OriginalWork, SpacePirates]
Space Runaway Ideon	[Mecha, SciFi, OuterSpace]
Space Station No. 9	[SciFi]
Space Symphony Maetel	[SciFi, BasedonanAnime, Cyborgs]
Space Travelers: The Animation	[SciFi, Mercenaries, OuterSpace]
Space Warrior Baldios	[Action, Mecha, SciFi, Aliens]
Space Warrior Baldios Movie	[Mecha, SciFi]
Sparrow's Hotel	[Comedy, SliceofLife, BasedonaManga, WorkLife]
Special A	[Comedy, Romance, Shoujo, BasedonaManga]
Special Duty Combat Unit Shinesman	[Action, Comedy, SciFi, SliceofLife, Aliens, Parody]
Spectral Force	[Action, Fantasy, BasedonaVideoGame, Demons, Medieval, Swordplay]
Speed	[Comedy, SciFi, Shorts]
Speed Grapher	[Action, OriginalWork, Psychological, SexualAbuse, Supernatural, Violence]
Speed Racer	[Action, Cars, Racing]
Spelunker Sensei	[Comedy, FlashAnimation, SchoolLife]
Spice and Wolf	[Adventure, Drama, Fantasy, Romance, BasedonaLightNovel, Medieval]
Spice and Wolf II	[Adventure, Fantasy, BasedonaLightNovel]
Spice and Wolf II OVA	[Adventure, Fantasy]
Spice and Wolf II Specials	[]
Spider Riders	[Action, Adventure, SciFi, Shounen, BasedonaNovel, FamilyFriendly, Insects, PersoninaStrangeWorld]
Spider Riders: Resurrected Sun	[Action, Adventure, SciFi, Shounen, BasedonaNovel, FamilyFriendly, PersoninaStrangeWorld]
Spiral	[Mystery, BasedonaManga, Detectives]
Spirit Warrior	[]
Spirit Warrior 2	[]
Spirit of Wonder: China-san Tanpenshuu	[]
Spirit of Wonder: Miss China's Ring	[Science]
Spirit of Wonder: Scientific Boys Club	[Science]
Spirited Away	[Adventure, Fantasy, FamilyFriendly, JapaneseMythology, Magic, OriginalWork, PersoninaStrangeWorld]
Spo-chan Taiketsu: Youkai Daikessen	[]
Spoon Oba-san	[Fantasy, FamilyFriendly]
Spoon-tan	[FamilyFriendly, Idols]
Spriggan	[Action, SciFi, BasedonaManga, PsychicPowers]
Spring and Chaos	[Fantasy, Abstract, AnimalProtagonists]
St. Luminous Mission High School	[Mystery, OriginalWork, SchoolLife]
Stamp Fantasia	[Fantasy, Shorts]
Stand by Me Doraemon	[CGAnimation]
Star Blazers: The Bolar Wars	[SciFi, BasedonanAnime]
Star Blazers: The Comet Empire	[SciFi, BasedonanAnime]
Star Blazers: The Quest for Iscandar	[Adventure, SciFi, OriginalWork, OuterSpace]
Star Driver the Movie	[]
Star Driver: Kagayaki no Takuto	[Action, Mecha, OriginalWork, SchoolLife]
Star Ocean EX	[Adventure, Fantasy, SciFi, BasedonaVideoGame, Magic, PersoninaStrangeWorld]
Star of Cottonland	[Fantasy, FamilyFriendly]
StarZinger	[SciFi, JourneytotheWest]
StarZinger II	[SciFi, JourneytotheWest]
StarZinger Movie	[]
StarrySky	[Drama, ReverseHarem, Romance, Shoujo, BasedonanOtomeGame, BasedonaVisualNovel, SchoolLife]
Starship Girl Yamamoto Yohko	[SciFi]
Starship Girl Yamamoto Yohko I	[Comedy, SciFi, OuterSpace]
Starship Girl Yamamoto Yohko II	[Comedy, SciFi]
Starship Operators	[Action, SciFi, BasedonaLightNovel, Military, OuterSpace, Political]
Starship Troopers	[SciFi, Military]
Starship Troopers: Invasion	[SciFi]
Steam Detectives	[Steampunk]
Steamboy	[Europe, Steampunk]
Steel Angel Kurumi	[Action, Comedy, Ecchi, SciFi, Androids, Military, Robots]
Steel Angel Kurumi 2	[Comedy, Ecchi, SciFi, SliceofLife, Androids, Robots]
Steel Angel Kurumi Encore	[Comedy, Harem, Romance, SciFi, SliceofLife, Androids, Robots]
Steel Angel Kurumi Zero	[Romance, Angels]
Steins;Gate	[SciFi, BasedonaVisualNovel, LGBTThemes, Psychological, Thriller, TimeTravel]
Steins;Gate 0	[SciFi, BasedonaVisualNovel]
Steins;Gate Special	[BasedonaVisualNovel]
Steins;Gate The Movie	[Drama, BasedonaVisualNovel, TimeTravel]
Steins;Gate: Soumei Eichi no Cognitive Computing	[BasedonaVisualNovel]
Stella Women's Academy, High School Division Class C3	[Comedy, Seinen, Sports, BasedonaManga, Gunfights, SchoolClub, SchoolLife]
Stellvia of the Universe	[Action, Romance, SciFi, OriginalWork, OuterSpace, SchoolLife]
Stitch and the Planet of Sand	[Adventure, Comedy, SciFi, Aliens, BasedonaMovie, FamilyFriendly]
Stitch!	[Comedy, SciFi, Aliens, BasedonaMovie, FamilyFriendly]
Stitch! Challenge From Piko	[BasedonaMovie]
Stitch! Perfect Memory	[Adventure, SciFi, Aliens, BasedonaMovie, FamilyFriendly]
Stitch! Son of Sprout	[BasedonaMovie]
Stitch! ~Best Friends Forever~	[SciFi, Aliens, BasedonaMovie, FamilyFriendly]
Stitch! ~Best Friends Forever~ Ace's Back	[BasedonaMovie, FamilyFriendly]
Stitch! ~The Mischievous Alien's Great Adventure~	[Comedy, SciFi, Aliens, BasedonaMovie, FamilyFriendly]
Stop!! Hibari-kun!	[Comedy, Crossdressing, Gangsters, SchoolLife]
Strait Jacket	[Action, BasedonaLightNovel, Magic]
Strange Dawn	[Fantasy, PersoninaStrangeWorld]
Strange Love	[Comedy, Ecchi, Crude, PantyShots, SexualContent]
Strange Story of a Dream Sphere Dealer	[Fantasy, Abstract, MysteriousShop, OriginalWork]
Strange+	[Comedy, BasedonaManga]
Strange+ Special	[Comedy]
Stratos 4	[SciFi, Aviation, Military, PantyShots]
Stratos 4 Advance	[SciFi, Aliens, Aviation, Military]
Stratos 4 Advance Kanketsu Hen	[SciFi, Aviation, Military]
Stratos 4 OVA	[SciFi, Aviation]
Stratos 4 OVA: Stratos 4.1 - Dutch Roll	[Action, Comedy, SciFi, Aviation, CombiningMecha, Parody]
Stratos 4: Logbook	[Recap]
Straw Mania	[Comedy, Shorts]
Strawberry Marshmallow	[Comedy, SliceofLife, BasedonaManga, FamilyFriendly]
Strawberry Marshmallow Encore	[Comedy, SliceofLife]
Strawberry Marshmallow OVA	[Comedy, SliceofLife]
Strawberry Marshmallow Special: Episode 0	[Comedy, SliceofLife, Astronauts, OuterSpace]
Strawberry Panic	[Drama, Romance, Shoujo-ai, BasedonaLightNovel, LGBTThemes, SchoolLife]
Stray Sheep Poe no Chicchana Daibouken	[]
Street Fighter Alpha: Generations	[Action, BasedonaVideoGame, HandtoHandCombat, MartialArts, Supernatural]
Street Fighter Alpha: The Movie	[Action, BasedonaVideoGame, HandtoHandCombat, MartialArts]
Street Fighter II V	[Action, BasedonaVideoGame, HandtoHandCombat, MartialArts]
Street Fighter II: The Movie	[Action, BasedonaVideoGame, HandtoHandCombat, MartialArts]
Street Fighter IV: The Ties That Bind	[Action, BasedonaVideoGame, HandtoHandCombat, MartialArts]
Strike Witches	[Action, Magic, Military, OriginalWork]
Strike Witches Movie	[]
Strike Witches TV	[Ecchi, Magic, Military, OriginalWork, PantyShots]
Strike Witches TV 2	[Ecchi, Magic, Military, OriginalWork, PantyShots]
Strike Witches: Operation Victory Arrow	[Military, Nudity]
Strike the Blood	[Action, Fantasy, BasedonaLightNovel, Demons, Magic, Vampires]
Strike the Blood OVA	[Action, Fantasy, BasedonaLightNovel, Demons, Magic, Vampires]
Submarine 707R	[Action, Military]
Submarine Super 99	[]
Suddenly Princess	[Comedy, Fantasy]
Sugar Bunnies	[FamilyFriendly]
Sugar Bunnies Chocolate!	[FamilyFriendly]
Sugar Bunnies Fleur	[FamilyFriendly]
Sugar Soldier	[Romance, Shoujo, SchoolLife]
Sugar Sugar Rune	[Fantasy, MagicalGirl, Romance, Shoujo, BasedonaManga, Magic]
Suikoden: Demon Century	[Action, MartialArts, Post-apocalyptic, Violence]
Suite Pretty Cure	[Action, MagicalGirl, Shoujo, FamilyFriendly, Magic, Monster-of-the-week, Music]
Suite Pretty Cure Movie: Torimodose! Kokoro ga Tsunagu Kiseki no Melody	[]
Sukeban Deka	[Action, Shoujo, Delinquents, Detectives, HandtoHandCombat, SchoolLife, Violence]
Suki Desu Suzuki-kun!!	[Comedy, Romance, Shoujo, SchoolLife]
Suki-tte Ii na yo.	[Drama, Romance, Shoujo, SliceofLife, BasedonaManga, SchoolLife]
Suki-tte Ii na yo. Specials	[]
Sukisho	[Comedy, Drama, Romance, Shounen-ai, BasedonaVisualNovel, SchoolLife]
Sukisho OVA	[Comedy, Shounen-ai]
Sukitte Ii na yo. OVA	[Drama, Romance, SliceofLife]
Sumiko Forever	[Shorts]
Sumiko TV	[]
Sumiko no Egao	[]
Sumiko: I Don't Like Your Attitude	[Shorts]
Summer Wars	[Action, Comedy, SciFi, Hacking, OriginalWork, SocialMedia, VirtualReality]
Sumomomo Momomo	[Comedy, Harem, BasedonaManga, MartialArts, SuddenGirlfriendAppearance]
Sumomomo Momomo Specials	[Comedy, MartialArts]
Sunday Without God	[Drama, Fantasy, Post-apocalyptic]
Sunday Without God Special	[Drama, Ecchi, Fantasy]
Super Atragon	[Adventure, SciFi, Military, WorldWar2]
Super Deformed Double Feature	[Action, Comedy, SciFi, Chibi, Crossover, Parody, Racing]
Super Dimension Century Orguss	[Action, Adventure, Mecha, SciFi, Military, PersoninaStrangeWorld, War]
Super Dimensional Cavalry Southern Cross	[Action, Mecha, SciFi, Aliens, Military]
Super Dimensional Fortress Macross	[Mecha, SciFi, Aliens, Idols, Military, Music, OuterSpace, SpaceOpera, War]
Super Doll Licca-chan	[MagicalGirl, Shoujo, Magic]
Super Doll Licca-chan: Licca-chan Zettai Zetsumei! Doll Knights no Kiseki	[]
Super GALS! Kotobuki Ran	[Comedy, Drama, SliceofLife]
Super Kid	[Action, Adventure, SciFi]
Super Kuma-san	[Comedy, Fantasy, AnimalProtagonists]
Super Lovers	[Romance, BasedonaManga]
Super Mario Brothers: Peach-hime Kyuushutsu Dai Sakusen	[Adventure, Fantasy, BasedonaVideoGame, FamilyFriendly]
Super Milk-chan	[Crude, Episodic]
Super Mobile Legend Dinagiga	[]
Super Radical Gag Family	[Crude]
Super Robot Wars OG: The Inspector	[Action, Mecha, SciFi, BasedonaVideoGame, Military]
Super Robot Wars: OG Divine Wars	[Action, Mecha, SciFi, BasedonaVideoGame, Military, War]
Super Robot Wars: OG Divine Wars Special	[Action, Mecha, SciFi, BasedonaVideoGame, Military, War]
Super Robot Wars: Original Generation	[Action, Mecha, SciFi, BasedonaVideoGame, Military]
Super Seisyun Brothers	[Comedy, SliceofLife, BasedonaManga]
Super Short Comics	[Comedy, BasedonaManga]
Super Street Fighter IV	[Action, BasedonaVideoGame, HandtoHandCombat, MartialArts]
Superbook	[BasedonaNon-FictionWork, FamilyFriendly, Religion]
Supercell: Black Rock Shooter	[Action, Vocaloid]
Supercell: Perfect Day	[Drama]
Superflat First Love	[Fantasy, Romance, Abstract]
Superflat Monogram	[Fantasy, Abstract, Shorts]
Supernatural The Animation	[Action, America, BasedonaTVSeries, Episodic, GhostHunters, Gore, Monster-of-the-week, Supernatural, Violence]
Sushi Ninja	[Comedy, FoodProtagonists, Ninja]
Sushi Police	[CGAnimation, FoodandBeverage, OriginalWork, Police, Restaurants, WorkLife]
Sushi and Beyond	[SliceofLife, BasedonaNovel, FoodandBeverage]
Sushi and Beyond: New Year's Special	[SliceofLife, BasedonaNovel, FoodandBeverage]
Suteki Tantei Labyrinth	[Mystery, BasedonaManga, Detectives]
Suteneko Tora-chan	[AnimalProtagonists, BlackandWhite, Music, Shorts]
Suzakinishi The Animation	[Comedy, SliceofLife, SchoolLife]
Suzuka	[Drama, Romance, Sports, BasedonaManga, SchoolLife, Tsundere]
Suzume no Oyado	[BlackandWhite, JapaneseAnimeClassicCollection, Shorts]
Suzy's Zoo Daisuki! Witzy	[SliceofLife, AnimalProtagonists, FamilyFriendly]
Suzy's Zoo Daisuki! Witzy Special	[]
Swan Lake	[Fantasy, FamilyFriendly]
Sweet Friday	[Shorts]
Sweet Valerian	[MagicalGirl, Shoujo, FamilyFriendly, Magic]
Sweet Valerian Specials	[]
Switch	[Action, BasedonaManga, DrugUse, MatureThemes, Police]
Sword Art Online	[Action, Adventure, Fantasy, SciFi, BasedonaLightNovel, HighStakesGames, MMORPG, PersoninaStrangeWorld, RPG, VirtualReality]
Sword Art Online II	[Action, Adventure, Fantasy, SciFi, BasedonaLightNovel, Gunfights, MMORPG, PersoninaStrangeWorld, VirtualReality]
Sword Art Online II: Debriefing	[Action, Adventure, Fantasy, SciFi, BasedonaLightNovel, Gunfights, MMORPG, PersoninaStrangeWorld, Recap, VirtualReality]
Sword Art Online II: Sword Art Offline II	[Comedy]
Sword Art Online Movie	[Fantasy, SciFi, BasedonaLightNovel, MMORPG, PersoninaStrangeWorld, VirtualReality]
Sword Art Online: Extra Edition	[Action, Adventure, Fantasy, SliceofLife, MMORPG, Recap, VirtualReality]
Sword Art Online: Sword Art Offline	[Comedy, Chibi]
Sword Art Online: Sword Art Offline - Extra Edition	[]
Sword Gai	[Fantasy, BasedonaManga]
Sword for Truth	[Action, FeudalJapan, Nudity, SexualContent, Swordplay, Violence]
Sword of the Stranger	[Action, Drama, OriginalWork, Samurai, Violence]
T.P. Sakura: Time Paladin Sakura	[Comedy, MagicalGirl, BasedonaVisualNovel]
TANK S.W.A.T. 01	[Action, Cyborgs]
TETE x METE	[Comedy, Shorts]
TWIN CROSS: Bokuha Kimiwo Warawanai	[]
TWO-MIX: White Reflection	[Adventure]
Taa-chan no Kaitei Ryokou	[BlackandWhite, JapaneseAnimeClassicCollection, Shorts]
Tabi	[Abstract, Shorts]
Taboo-Tattoo	[Action, BasedonaManga, Supernatural]
Tachumaru Gekijou	[Comedy, AnimalProtagonists, FlashAnimation, Parody]
Tactical Roar	[]
Tactical Roar Special	[]
Tactics	[BasedonaManga, Demons, Monster-of-the-week, Supernatural]
Tai Chi Chasers	[Action, Adventure]
Taifu no Noruda	[Drama, SciFi, OriginalWork, SchoolLife]
Taiko Drum Master	[]
Tailenders	[Action, SciFi, Post-apocalyptic, Racing]
Tairiki Taro no Mucha Shugyo	[Action, BlackandWhite, Demons, JapaneseAnimeClassicCollection, Samurai, Shorts]
Taishou Yakyuu Musume	[Drama, SliceofLife, Sports, Baseball, BasedonaLightNovel]
Taiyou no Kiba Dougram	[Mecha, SciFi]
Taiyou no Mokushiroku	[Seinen, Political, Survival]
Takamiya Nasuno Desu!	[Comedy, SliceofLife, BasedonaManga]
Takanashi Rikka Kai: Chuunibyou demo Koi ga Shitai! Movie	[Comedy, Drama, Romance, BasedonaLightNovel, Recap, SchoolLife]
Takanashi Rikka Kai: Chuunibyou demo Koi ga Shitai! Movie Lite	[Comedy, BasedonaLightNovel]
Takane no Jitensha	[Fantasy]
Takarajima	[Adventure, BasedonaNovel, Pirates]
Takarajima Memorial: Yuunagi to Yobareta Otoko	[BasedonaNovel]
Takarajima Movie	[Adventure, BasedonaNovel, Pirates]
Take the X Train	[Supernatural, Trains]
Tale of Genji	[Drama, Josei, Romance, BasedonaNovel, FeudalJapan]
Tales of 20th Anniversary Animation	[BasedonaVideoGame]
Tales of Eternia	[Action, Fantasy, BasedonaVideoGame]
Tales of Gekijou	[Comedy, Chibi]
Tales of Phantasia	[Action, Adventure, Fantasy, BasedonaVideoGame, Magic, Swordplay]
Tales of Symphonia	[Action, Adventure, Fantasy, BasedonaVideoGame, Magic, Swordplay]
Tales of Symphonia: Kaette Kita Kratos Sensei no Private Lesson	[]
Tales of Symphonia: Kratos Sensei no Private Lesson	[]
Tales of Symphonia: Sekai Tougou-hen	[]
Tales of Symphonia: Sekai Tougou-hen Specials	[]
Tales of Symphonia: Tethe'alla Hen Specials	[]
Tales of Symphonia: Tethe'alla-hen	[Action, Adventure, Fantasy, BasedonaVideoGame, Magic, Swordplay]
Tales of Vesperia ~The First Strike~	[Action, Adventure, Fantasy, BasedonaVideoGame, Magic, Medieval, Swordplay]
Tales of Zestiria: Doushi no Yoake	[Action, Fantasy, BasedonaVideoGame, Magic]
Tales of a Street Corner	[Drama, LoveTriangle, Music, OriginalWork]
Tales of the Abyss	[Action, Adventure, Comedy, Fantasy, BasedonaVideoGame, Magic]
Tama and Friends	[AnimalProtagonists]
Tama: Densha Kamo Shirenai	[BlackandWhite]
Tamagotchi! Miracle Friends	[Fantasy, TimeTravel]
Tamagotchi! Tamatomo Daishuu GO	[FamilyFriendly]
Tamako Love Story	[Romance, SliceofLife]
Tamako Market	[Comedy, Romance, SliceofLife, SchoolLife]
Tamako Market Specials	[Comedy, PictureDrama]
Tamala 2010: A Punk Cat in Space	[SciFi, AnimalProtagonists, BlackandWhite, OriginalWork]
Tamayura	[SliceofLife, OriginalWork]
Tamayura: Hitotose	[SliceofLife, OriginalWork, SchoolLife]
Tamayura: Hitotose Special	[]
Tamayura: More Aggressive	[SliceofLife, OriginalWork, SchoolClub, SchoolLife]
Tamayura: More Aggressive OVA	[]
Tamayura: More Aggressive Picture Drama	[PictureDrama]
Tamayura: Sotsugyou Shashin Movie 1 - Kizashi	[SliceofLife]
Tamayura: Sotsugyou Shashin Movie 2 - Hibiki	[SliceofLife]
Tamayura: Sotsugyou Shashin Movie 3 - Akogare	[SliceofLife]
Tamayura: Sotsugyou Shashin Movie 4	[]
Tanaka-kun wa Itsumo Kedaruge	[Comedy, SliceofLife, BasedonaManga]
Taneyamagahara no Yoru	[Shorts]
Tanken Driland: 1000-nen no Mahou	[Fantasy, Chibi]
Tanoshii Moomin Ikka: Bouken Nikki	[Adventure, AnimalProtagonists, FamilyFriendly]
Tanoshii Willow Town	[Fantasy, AnimalProtagonists]
Tansu Warashi.	[Comedy, Fantasy, SliceofLife, AnimeMirai, OriginalWork]
Tantei Opera Milky Holmes	[Comedy, Mystery, Detectives]
Tantei Opera Milky Holmes 2	[Comedy, Mystery, Detectives]
Tantei Opera Milky Holmes Movie: Milky Holmes' Counterattack	[Comedy, Mystery, Detectives]
Tantei Opera Milky Holmes TD	[Comedy, Mystery, Detectives]
Tantei Opera Milky Holmes: Alternative	[]
Tantei Opera Milky Holmes: Sisters	[Comedy, Mystery, Detectives]
Tantei Opera Milky Holmes: Summer Special	[]
Tantei Team KZ: Jiken Note	[Mystery, BasedonaNovel, SchoolLife]
Tanu no Magical Holiday	[FamilyFriendly]
Tao Tao Ehonkan Sekai Doubutsu Banashi	[AnimalProtagonists, FamilyFriendly]
Tari Tari	[Drama, SliceofLife, Music, SchoolClub]
Tari Tari Special	[]
Taro the Dragon Boy	[Adventure, Fantasy, Demons, Dragons]
Taro-san no Kisha	[AnimalProtagonists, BlackandWhite, FamilyFriendly, JapaneseAnimeClassicCollection, Shorts, Trains]
Tasogare Otome x Amnesia	[Mystery, Romance, BasedonaManga, SchoolClub, SchoolLife, Supernatural]
Tasogare Otome x Amnesia Special	[Comedy, Mystery, SchoolClub, Supernatural]
Tatakae!! Ramenman	[]
Tatakau Shisho: The Book of Bantorra	[Action, Fantasy, BasedonaLightNovel, PsychicPowers, Superpowers, Violence]
Tatamp	[Shorts]
Tattoon Master	[Comedy, Seinen, BasedonaManga, Magic, SchoolLife, SuddenGirlfriendAppearance, Superpowers]
Tayutama -Kiss on my Deity-	[Ecchi, Fantasy, Harem, BasedonanEroge, BasedonaVisualNovel, JapaneseMythology, Supernatural]
Tayutayu -Pure my Heart-	[Comedy, Fantasy, BasedonanEroge, BasedonaVisualNovel, Omake]
Tears to Tiara	[Action, Adventure, Fantasy, Harem, Seinen, BasedonanEroge, BasedonaVisualNovel, Demons, Magic, Medieval]
Techno Police 21C	[]
Teekyuu	[Comedy, BasedonaManga]
